동별,항목,단위,2019 년,2020 년,2021 년,2022 년,2023 년
한남동,면수,면,16128.0,16642.0,16297.0,16498.0,16204.0
왕십리2동,면수,면,5217.0,5026.0,5083.0,5044.0,4078.0
마장동,면수,면,8902.0,8803.0,8756.0,8796.0,8335.0
사근동,면수,면,7111.0,7438.0,7382.0,7355.0,7717.0
행당1동,면수,면,7503.0,7568.0,7535.0,7516.0,7466.0
행당2동,면수,면,8225.0,9355.0,9355.0,9357.0,7962.0
응봉동,면수,면,4413.0,3182.0,3161.0,3151.0,3140.0
금호1가동,면수,면,5382.0,5461.0,5454.0,5457.0,3877.0
금호4가동,면수,면,5440.0,5430.0,5432.0,5423.0,4574.0
성수1가1동,면수,면,8974.0,7540.0,7596.0,7635.0,8341.0
성수1가2동,면수,면,7762.0,8894.0,9280.0,9712.0,9150.0
성수2가1동,면수,면,8128.0,8207.0,8383.0,8387.0,8475.0
성수2가3동,면수,면,16016.0,15908.0,16306.0,16697.0,15805.0
송정동,면수,면,2848.0,3106.0,3118.0,3118.0,3083.0
용답동,면수,면,6747.0,6268.0,6299.0,6002.0,6504.0
왕십리도선동,면수,면,13606.0,13541.0,13483.0,13447.0,8887.0
금호2.3가동,면수,면,6780.0,6768.0,6781.0,6764.0,6645.0
옥수동,면수,면,10670.0,10666.0,10703.0,10683.0,8241.0
화양동,면수,면,10196.0,10242.0,10275.0,10647.0,10174.0
군자동,면수,면,7645.0,7657.0,7484.0,7263.0,7512.0
중곡1동,면수,면,5362.0,5323.0,5481.0,4979.0,5720.0
중곡2동,면수,면,6881.0,7291.0,6742.0,6526.0,6893.0
중곡3동,면수,면,5577.0,5628.0,5852.0,5359.0,5972.0
중곡4동,면수,면,8902.0,8470.0,8709.0,8177.0,8881.0
능동,면수,면,7355.0,6838.0,7301.0,6560.0,6474.0
구의1동,면수,면,7875.0,7888.0,7765.0,8621.0,9124.0
구의2동,면수,면,9461.0,9450.0,9045.0,8722.0,9539.0
구의3동,면수,면,15136.0,15198.0,14977.0,14788.0,14856.0
광장동,면수,면,16959.0,16973.0,16543.0,16425.0,14654.0
자양1동,면수,면,7191.0,7262.0,7170.0,6870.0,7136.0
자양2동,면수,면,10322.0,10276.0,9853.0,9499.0,9873.0
자양3동,면수,면,14098.0,14906.0,14288.0,14240.0,14359.0
자양4동,면수,면,5781.0,5393.0,5555.0,5713.0,6081.0
회기동,면수,면,5986.0,6000.0,6106.0,6029.0,6144.0
휘경1동,면수,면,4474.0,4575.0,6353.0,6499.0,6680.0
휘경2동,면수,면,11108.0,11229.0,11334.0,11358.0,11401.0
청량리동,면수,면,8928.0,8931.0,8925.0,8940.0,9497.0
용신동,면수,면,16293.0,16780.0,17042.0,16812.0,19136.0
제기동,면수,면,8971.0,9214.0,9502.0,9163.0,9147.0
전농1동,면수,면,10495.0,10473.0,11351.0,11320.0,12256.0
전농2동,면수,면,7280.0,7263.0,7280.0,7287.0,7269.0
답십리2동,면수,면,8129.0,9112.0,9120.0,9090.0,9150.0
장안1동,면수,면,18530.0,18792.0,19212.0,19466.0,19316.0
장안2동,면수,면,13848.0,14522.0,14695.0,14889.0,14994.0
이문1동,면수,면,7519.0,7523.0,6964.0,7147.0,7110.0
이문2동,면수,면,5941.0,6615.0,6603.0,6493.0,6495.0
답십리1동,면수,면,10698.0,11271.0,13576.0,13610.0,13686.0
면목2동,면수,면,7906.0,7851.0,7780.0,6122.0,6204.0
면목4동,면수,면,5497.0,5653.0,5586.0,4786.0,4540.0
면목5동,면수,면,4671.0,5333.0,4763.0,7247.0,6901.0
면목7동,면수,면,6576.0,6659.0,6729.0,6840.0,6746.0
상봉1동,면수,면,12163.0,12140.0,12135.0,9696.0,9662.0
상봉2동,면수,면,9315.0,9401.0,9438.0,6796.0,7417.0
중화1동,면수,면,4752.0,4742.0,4704.0,5636.0,5683.0
중화2동,면수,면,7508.0,7536.0,7629.0,6279.0,6624.0
묵1동,면수,면,13555.0,13725.0,13452.0,15177.0,14970.0
묵2동,면수,면,6322.0,6208.0,6348.0,6276.0,6265.0
망우3동,면수,면,4372.0,4401.0,4341.0,4324.0,4326.0
신내1동,면수,면,15803.0,15800.0,15832.0,17192.0,17265.0
신내2동,면수,면,8342.0,8194.0,8220.0,6670.0,6318.0
면목본동,면수,면,7802.0,7639.0,7704.0,8157.0,7914.0
면목3.8동,면수,면,6591.0,6689.0,6586.0,7070.0,6984.0
망우본동,면수,면,12440.0,12724.0,12672.0,14616.0,14770.0
돈암1동,면수,면,5463.0,6474.0,6478.0,5809.0,5809.0
돈암2동,면수,면,9444.0,8831.0,8842.0,9912.0,10146.0
안암동,면수,면,9714.0,9693.0,9092.0,7994.0,8069.0
보문동,면수,면,5436.0,5657.0,5591.0,3535.0,3624.0
정릉1동,면수,면,5602.0,6662.0,6658.0,6064.0,6062.0
정릉2동,면수,면,7992.0,7297.0,7362.0,7628.0,7834.0
정릉3동,면수,면,6467.0,6445.0,6426.0,4300.0,4518.0
정릉4동,면수,면,8756.0,9631.0,9638.0,8622.0,9299.0
길음1동,면수,면,12856.0,11058.0,11052.0,13513.0,13510.0
길음2동,면수,면,6009.0,6794.0,6883.0,12483.0,11923.0
월곡1동,면수,면,8960.0,9738.0,9788.0,9587.0,9600.0
월곡2동,면수,면,12073.0,7951.0,7027.0,8437.0,7224.0
장위1동,면수,면,5888.0,5761.0,5733.0,4431.0,4489.0
장위2동,면수,면,3117.0,4527.0,4645.0,3079.0,3116.0
장위3동,면수,면,2440.0,2502.0,2433.0,6574.0,6596.0
성북동,면수,면,7440.0,7389.0,7425.0,5775.0,6053.0
삼선동,면수,면,8268.0,8203.0,8223.0,8283.0,8560.0
동선동,면수,면,7170.0,7277.0,7288.0,6177.0,6315.0
종암동,면수,면,13146.0,13693.0,13690.0,13161.0,13272.0
석관동,면수,면,10674.0,10781.0,10819.0,9890.0,10002.0
번1동,면수,면,6191.0,6323.0,6454.0,6575.0,6659.0
번2동,면수,면,4238.0,4248.0,4289.0,4328.0,4347.0
번3동,면수,면,4818.0,4819.0,4823.0,4842.0,4845.0
수유1동,면수,면,5315.0,5439.0,5667.0,5866.0,5959.0
수유2동,면수,면,6861.0,6972.0,7040.0,7176.0,7186.0
수유3동,면수,면,6477.0,6622.0,7223.0,7327.0,7464.0
삼양동,면수,면,6641.0,6654.0,6749.0,6786.0,6809.0
미아동,면수,면,7082.0,7252.0,7270.0,7367.0,7471.0
송중동,면수,면,9313.0,9361.0,9390.0,9441.0,9408.0
송천동,면수,면,6290.0,6342.0,6387.0,7837.0,6506.0
삼각산동,면수,면,12856.0,12854.0,12860.0,12858.0,12832.0
우이동,면수,면,6124.0,6343.0,6489.0,6600.0,6668.0
인수동,면수,면,8981.0,9086.0,9204.0,9633.0,9737.0
쌍문1동,면수,면,7734.0,7767.0,7633.0,7242.0,7982.0
쌍문2동,면수,면,6766.0,6114.0,6100.0,6249.0,7046.0
쌍문3동,면수,면,4357.0,5521.0,5390.0,5627.0,5789.0
쌍문4동,면수,면,4593.0,4684.0,4680.0,4711.0,4924.0
방학1동,면수,면,13245.0,13578.0,13955.0,13443.0,13742.0
방학2동,면수,면,5525.0,6139.0,5696.0,5715.0,6107.0
방학3동,면수,면,7094.0,6877.0,6864.0,6835.0,6929.0
창1동,면수,면,6911.0,6722.0,6763.0,6767.0,7397.0
창2동,면수,면,9089.0,10221.0,10221.0,10273.0,10733.0
창3동,면수,면,6859.0,3881.0,3704.0,3729.0,3724.0
창4동,면수,면,11998.0,11187.0,11137.0,10805.0,13658.0
창5동,면수,면,7181.0,11165.0,11087.0,11136.0,11384.0
도봉1동,면수,면,7836.0,8359.0,7923.0,7935.0,9203.0
도봉2동,면수,면,10563.0,10650.0,10763.0,10466.0,10960.0
월계1동,면수,면,9732.0,9392.0,9416.0,9316.0,9086.0
월계2동,면수,면,8348.0,10024.0,9993.0,9180.0,9154.0
월계3동,면수,면,9448.0,9367.0,9177.0,10996.0,10615.0
공릉2동,면수,면,20066.0,21737.0,21713.0,18724.0,18016.0
하계1동,면수,면,11490.0,11494.0,11657.0,10360.0,12042.0
하계2동,면수,면,4901.0,5118.0,5055.0,5520.0,5558.0
중계본동,면수,면,7592.0,9326.0,9342.0,9135.0,9138.0
중계1동,면수,면,9071.0,10650.0,10701.0,9864.0,9947.0
중계4동,면수,면,9312.0,6238.0,6220.0,6500.0,7227.0
상계1동,면수,면,14177.0,13842.0,13808.0,14425.0,14342.0
상계2동,면수,면,7875.0,9421.0,9622.0,8349.0,8366.0
