년분기,행정동,업종명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20191,종로5·6가동,인테리어,23,0,0,0
20191,종로5·6가동,조명용품,52,0,1,0
20191,종로5·6가동,전자상거래업,87,9,1,0
20191,이화동,한식음식점,98,2,6,21
20191,이화동,중식음식점,9,1,3,2
20191,이화동,일식음식점,17,6,1,8
20191,이화동,양식음식점,35,1,2,10
20191,이화동,제과점,15,5,2,11
20191,이화동,패스트푸드점,16,1,0,5
20191,이화동,치킨전문점,1,0,0,5
20191,이화동,분식전문점,33,1,0,9
20191,이화동,호프-간이주점,25,1,1,4
20191,이화동,커피-음료,46,1,2,33
20191,이화동,일반교습학원,10,0,0,0
20191,이화동,외국어학원,2,0,0,0
20191,이화동,예술학원,5,0,0,1
20191,이화동,스포츠 강습,2,0,1,0
20191,이화동,일반의원,5,0,0,0
20191,이화동,치과의원,4,0,0,0
20191,이화동,한의원,1,0,0,0
20191,이화동,당구장,4,1,1,0
20191,이화동,골프연습장,2,0,0,0
20191,이화동,PC방,1,0,0,0
20191,이화동,스포츠클럽,2,0,0,0
20191,이화동,자동차수리,3,0,0,0
20191,이화동,자동차미용,1,0,0,0
20191,이화동,미용실,6,1,1,2
20191,이화동,네일숍,1,0,0,0
20191,이화동,피부관리실,2,1,0,0
20191,이화동,세탁소,6,0,0,0
20191,이화동,가전제품수리,2,0,0,0
20191,이화동,부동산중개업,21,0,0,0
20191,이화동,여관,1,0,0,0
20191,이화동,고시원,1,0,0,0
20191,이화동,노래방,4,0,0,0
20191,이화동,슈퍼마켓,17,0,2,1
20191,이화동,편의점,2,1,1,17
20191,이화동,컴퓨터및주변장치판매,6,0,0,0
20191,이화동,핸드폰,3,0,0,0
20191,이화동,미곡판매,5,0,0,0
20191,이화동,육류판매,2,0,0,0
20191,이화동,수산물판매,3,1,0,0
20191,이화동,반찬가게,9,2,0,0
20191,이화동,일반의류,42,2,0,6
20191,이화동,신발,2,0,0,0
