목5동,43164,42929,42943,42948,42889,42645,42459,42288,41894,41593,41379,41308,41103,40899,40747,40737,40673,40548,40715,40818,40737,40656
무악동,8585,8702,8745,8740,8767,8691,8655,8592,8425,8365,8334,8297,8245,8184,8084,8052,8045,8015,8040,7991,8007,7968
묵1동,36200,36120,36063,36016,35969,35885,35803,35588,35269,35094,34864,34636,34602,34620,34430,34344,34217,34094,33979,33935,33826,33670
묵2동,20298,20138,20094,19901,19822,19789,19711,19672,19557,19320,19178,18946,18841,18783,18672,18624,18653,18597,18466,18323,18361,18302
문래동,32172,32054,31961,31963,31981,32734,32792,33399,33088,33060,32990,32812,32732,32718,32558,32540,32479,32385,32390,32342,32335,32247
문정1동,21427,21359,21380,21301,21304,21234,21043,20868,20642,20473,20339,20198,20125,20079,20018,19916,19791,19785,19705,19673,19898,20031
문정2동,29963,29926,30038,29967,30070,29987,29736,29547,29388,29334,29106,29072,29061,28948,28945,28841,28891,28966,28981,28972,29043,28997
미성동,33180,33001,32929,32751,32597,32300,32067,31787,31595,31408,31258,31056,31037,31023,30752,30662,30515,30465,30309,30128,29952,29811
미아동,23174,23064,22987,22814,22799,22786,22780,22723,22493,22361,22162,21997,21898,21851,21768,21685,21692,21655,21657,21546,21469,21443
반포1동,33200,33247,33139,33237,33268,32981,32833,32630,32387,33239,34559,34815,34894,34783,34634,34443,34547,34500,34387,34190,34252,34191
반포2동,16490,16424,16381,16385,16400,16327,16316,16240,16047,15916,15847,15801,15858,15811,15823,15742,15749,15740,18735,23436,24279,24641
반포3동,20255,20267,20324,20390,20343,21741,22313,22412,22406,22378,22229,22245,22155,21930,22055,22773,23784,23848,23946,23845,23898,23885
반포4동,20474,20369,20270,20232,20217,20148,20017,19977,19822,19684,19735,19807,19791,19701,19581,19486,19448,19464,19299,19229,19330,19325
반포본동,12383,12329,12106,12190,12183,12107,12070,11991,11512,10508,5761,2000,696,411,305,292,283,282,258,241,233,235
발산1동,38736,38619,38559,38507,38458,38288,37880,37530,36915,36507,36426,36572,36393,36455,36300,36236,36212,36159,36044,35955,35797,35693
방배1동,17680,17592,17559,17524,17739,17659,17532,17381,17180,17123,17078,16980,16944,16925,16896,16883,16830,16789,16730,16644,16583,16583
방배2동,21629,21342,21135,20958,20856,20628,20534,20404,20092,19923,19775,19474,18992,18778,18631,18553,18436,18314,18229,18171,18156,18110
방배3동,22491,22578,22489,22455,22226,21938,21801,21441,20641,19381,18957,18861,18802,18406,17643,17321,17194,17177,17076,16058,15941,15985
방배4동,24424,24294,24278,24083,23999,24029,24037,24036,23897,23797,23753,23817,23700,23517,23444,23429,23339,23194,23172,23108,23013,22960
방배본동,21674,21562,21471,21585,21539,21424,21416,21293,21199,21013,21032,21083,20995,20859,20843,20778,20711,20646,20622,20575,20472,20167
방이1동,16516,16514,16515,16524,16450,16461,16344,16298,16107,15926,15888,15766,15662,15605,15536,15460,15338,15349,15275,15231,15248,15187
방이2동,25897,26211,26209,26044,26408,26663,26655,26675,26619,27007,27216,27015,26971,26832,26589,26354,26511,26497,26695,26833,27002,26974
방학1동,30482,30389,30344,30056,29817,29675,29453,29236,28974,28967,29035,28912,28813,28731,28573,28410,28345,28162,28013,28005,27870,27702
방학2동,21465,21381,21268,21140,21016,20835,20588,20473,20135,20038,19906,19867,19760,19607,19418,19354,19185,19026,18893,18739,18618,18463
방학3동,29067,28964,28846,28782,28522,28328,28121,27973,27658,27544,27323,27110,26952,26815,26635,26500,26471,26363,26259,26155,26095,26030
방화1동,46148,45982,45847,45668,45464,45279,44888,44550,43896,43532,43402,43181,42879,42970,42884,42851,42746,42789,42512,42283,42112,41862
방화2동,24417,24354,24203,24051,23942,23771,23519,23442,23519,23518,23602,23656,23523,23519,23402,23371,23251,23107,23036,22978,22906,22902
방화3동,24775,24673,24582,24467,24286,24130,23811,23577,23282,23197,23031,22924,22790,22749,22591,22544,22445,22324,22199,22110,22015,21950
번1동,19885,19861,19815,19614,19648,19684,19559,19441,19080,18969,18826,18717,18791,18803,18684,18578,18592,18455,18417,17963,17281,17105
번2동,17468,17389,17307,17102,17041,16872,16707,16544,16311,16194,16020,15932,15725,15606,15530,15397,15295,15188,15055,14994,14935,14879
번3동,18799,18677,18506,18251,18094,17927,17763,17605,17270,17226,17065,16905,16751,16668,16530,16449,16315,16514,16505,16420,16314,16231
보광동,16141,16008,15897,15862,15997,16023,15805,15531,15284,14974,14804,14708,14610,14482,14187,14060,13961,13840,13585,12420,10679,8652
